,full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,Bio,Follower Count
105,Mo Brooks,M,rep,AL,5.0,AL-5,R,MoBrooks_,RepMoBrooks,R+32.81,R+32.99,Brooks,Mo,,,https://brooks.house.gov,2185 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,1987.0,N00030910,,H0AL05163,94888.0,412395,121610.0,Mo Brooks,,21193.0,Mo Brooks,this is mo brooks\xe2\x80\x99 campaign account  follow congressman mo brooks\xe2\x80\x99  al-05  official twitter  repmobrooks ,1704.0
106,Gary J. Palmer,M,rep,AL,6.0,AL-6,R,Palmer4Alabama,USRepGaryPalmer,R+47.21,R+47.44,Palmer,Gary,J.,,https://palmer.house.gov,170 Cannon House Office Building Washington DC 20515-0106,202-225-4921,,,CongressmanGaryPalmer,,UCYZfP-cNIvlJY3AcAc9OPpQ,P000609,2221.0,N00035691,,H4AL06098,76094.0,412608,146274.0,Gary Palmer,,21500.0,Gary Palmer (politician),conservative leader in alabama for more than 20 years  husband   father of three ,2707.0
107,Terri Sewell,F,rep,AL,7.0,AL-7,D,Sewell4Congress,RepTerriSewell,D+41.69,D+41.48,Sewell,Terri,A.,,https://sewell.house.gov,2201 Rayburn House Office Building Washington DC 20515-0107,202-225-2665,,http://sewell.house.gov/rss.xml,RepSewell,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,S001185,1988.0,N00030622,,H0AL07086,623257.0,412396,121621.0,Terri Sewell,,21102.0,Terri Sewell,my name is terri sewell  and i am seeking re-election to congress in alabama s 7th district  let s move alabama forward together ,3609.0
108,"Eric A. ""Rick"" Crawford",M,rep,AR,1.0,AR-1,R,Crawford4Cong,RepRickCrawford,R+30,R+31.56,Crawford,Eric,A.,,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,,http://crawford.house.gov/news/rss.aspx,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,C001087,1989.0,N00030770,,H0AR01083,623259.0,412400,119208.0,Rick Crawford,,21106.0,Rick Crawford (politician),campaign account of congressman rick crawford who represents the first district of arkansas   ar1,4414.0
109,J. Hill,M,rep,AR,2.0,AR-2,R,ElectFrench,RepFrenchHill,R+9.63,R+11.2,Hill,J.,French,,https://hill.house.gov,1533 Longworth House Office Building Washington DC 20515-0402,202-225-2506,,,RepFrenchHill,,UCT8uWroJtkwSsCJlVg0IKvQ,H001072,2223.0,N00035792,,H4AR02141,9265172.0,412609,146290.0,French Hill,,21503.0,French Hill (politician),official campaign account for french hill  little rock businessman  civic leader and congressman for arkansas s 2nd district   ar2  ar02,2856.0
110,Steve Womack,M,rep,AR,3.0,AR-3,R,womack4congress,Rep_SteveWomack,R+30.8,R+32.36,Womack,Steve,,,https://womack.house.gov,2412 Rayburn House Office Building Washington DC 20515-0403,202-225-4301,,http://womack.house.gov/news/rss.aspx,RepSteveWomack,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,W000809,1991.0,N00031857,,H0AR03055,1033625.0,412402,71815.0,Steve Womack,,21108.0,Steve Womack,i m running for re-election of the 3rd u s  congressional district seat in arkansas  i appreciate your support ,2113.0
111,Bruce Westerman,M,rep,AR,4.0,AR-4,R,WestermanAR,RepWesterman,R+29.13,R+30.69,Westerman,Bruce,,,https://westerman.house.gov,202 Cannon House Office Building Washington DC 20515-0404,202-225-3772,,,RepWesterman,,UCNshPbmupCwP5a7Hi79jETQ,W000821,2224.0,N00035527,,H4AR04048,76097.0,412610,119120.0,Bruce Westerman,,21563.0,Bruce Westerman,husband  father  engineer  forester  razorback  representing arkansas s 4th district   lesshasslemorefreedom,2375.0
112,Aumua Amata Coleman Radewagen,F,rep,AS,0.0,AS-1,R,amata96799,RepAmata,,,Radewagen,Aumua Amata,Coleman,,https://radewagen.house.gov,1339 Longworth House Office Building Washington DC 20515-5200,202-225-8577,,,aumuaamata,,UCGdrLQbt1PYDTPsampx4t1A,R000600,2222.0,N00007635,,H4AS00036,5188.0,412664,128380.0,Amata Radewagen,,,Amata Coleman Radewagen,,96.0
113,Tom O’Halleran,M,rep,AZ,1.0,AZ-1,D,TomOHalleran,repohalleran,R+5.56,R+3.79,O’Halleran,Tom,,,https://ohalleran.house.gov,318 Cannon House Office Building Washington DC 20515-0301,202-225-3361,,,repohalleran,,,O000171,,N00037515,,H6AZ01199,104523.0,412682,28499.0,Tom O'Halleran,,21739.0,Tom O'Halleran,committed to bringing people together to solve the challenges our communities face  proud father  grandfather     uarizona basketball fan   az01,10136.0
114,Ann Kirkpatrick,F,rep,AZ,2.0,AZ-2,D,Ann_Kirkpatrick,RepKirkpatrick,R+1.22,D+0.54,Kirkpatrick,Ann,,,https://kirkpatrick.house.gov,309 Cannon House Office Building Washington DC 20515-0302,202-225-2542,,http://kirkpatrick.house.gov/rss.xml,,,,K000368,1907.0,N00029260,,H8AZ01104,1031338.0,412286,28425.0,Ann Kirkpatrick,,20902.0,Ann Kirkpatrick,proud lifelong arizonan  congresswoman for az02  independent voice for working arizona families  mother and proud grandma  join us ,10873.0
115,Raúl M. Grijalva,M,rep,AZ,3.0,AZ-3,D,standwithraul,RepraulGrijalva,D+24.11,D+25.82,Grijalva,Raúl,M.,,https://grijalva.house.gov,1511 Longworth House Office Building Washington DC 20515-0303,202-225-2435,,http://grijalva.house.gov/common/rss/?rss=13,Rep.Grijalva,raulgrijalvaaz07,UC8JZLnXS21bhNbcvpoM8O7g,G000551,1708.0,N00025284,,H2AZ07070,1003551.0,400162,28253.0,Raul M. Grijalva,,20305.0,Raúl Grijalva,your source for progressive campaign news in southern arizona and nationwide  join our mailing list at http //t co/dz368796de,3860.0
116,Paul A. Gosar,M,rep,AZ,4.0,AZ-4,R,DrPaulGosar,RepGosar,R+42.86,R+41.24,Gosar,Paul,A.,,https://gosar.house.gov,2057 Rayburn House Office Building Washington DC 20515-0304,202-225-2315,,http://gosar.house.gov/rss.xml,repgosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,G000565,1992.0,N00030771,,H0AZ01259,62470.0,412397,123491.0,Paul Gosar,,21103.0,Paul Gosar,personal twitter  congressman for az\xe2\x80\x99s 4th district  constitutional conservative   maga \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xe2\x80\x9call of arizona appreciates rep  gosar\xe2\x80\x9d,104915.0
117,Andy Biggs,M,rep,AZ,5.0,AZ-5,R,andybiggs4az,RepAndyBiggsAZ,R+27.79,R+26.08,Biggs,Andy,,,https://biggs.house.gov,171 Cannon House Office Building Washington DC 20515-0305,202-225-2635,,,RepAndyBiggs,,UCqSq9kWOxk9yNTeILBCVC1w,B001302,,N00039293,,H6AZ05083,105145.0,412683,28088.0,Andy Biggs,,21705.0,Andy Biggs,u s  representative for  az05  native arizonan  husband  father  grandfather  and conservative republican ,13583.0
118,David Schweikert,M,rep,AZ,6.0,AZ-6,R,DavidSchweikert,RepDavid,R+17.56,R+15.81,Schweikert,David,,,https://schweikert.house.gov,304 Cannon House Office Building Washington DC 20515-0306,202-225-2190,,http://schweikert.house.gov/rss/press-releases.xml,repdavidschweikert,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,S001183,1994.0,N00006460,,"H4AZ06045,H8AZ05097",5205.0,412399,106387.0,David Schweikert,,21105.0,David Schweikert,husband  father  and conservative who is blessed to represent arizona\xe2\x80\x99s 6th district in the united states congress,5498.0
119,Ruben Gallego,M,rep,AZ,7.0,AZ-7,D,RubenGallego,RepRubenGallego,D+43.88,D+45.47,Gallego,Ruben,,,https://rubengallego.house.gov,1131 Longworth House Office Building Washington DC 20515-0307,202-225-4065,,,RepRubenGallego,,,G000574,2226.0,N00036097,,H4AZ07043,77233.0,412612,123732.0,Ruben Gallego,,21502.0,Ruben Gallego,iraq war veteran  usmc 0311/0341  member of congress for arizona s 7th congressional district  proud democrat  hispanic  latino  father of michael ,104478.0
120,Debbie Lesko,F,rep,AZ,8.0,AZ-8,R,DebbieLesko,RepDLesko,R+26.32,R+24.61,Lesko,Debbie,,,https://lesko.house.gov,1214 Longworth House Office Building Washington DC 20515-0308,202-225-4576,,,RepDebbieLesko,,,L000589,,N00042056,,H8AZ08158,,412745,106483.0,Debbie Lesko,,21757.0,Debbie Lesko,congresswoman from arizona s 8th congressional district ,22829.0
121,Greg Stanton,M,rep,AZ,9.0,AZ-9,D,gregstantonaz,RepGregStanton,D+8.38,D+10.13,Stanton,Greg,,,https://stanton.house.gov,207 Cannon House Office Building Washington DC 20515-0309,202-225-9888,,,,,,S001211,,N00041750,,H8AZ09040,,412753,72030.0,Greg Stanton,,21968.0,Greg Stanton,dad  husband  former phoenix mayor  congressman for arizona s 9th district  instagram   gregstantonaz,66992.0
122,Doug LaMalfa,M,rep,CA,1.0,CA-1,R,DougLaMalfa,RepLaMalfa,R+22.53,R+23.88,LaMalfa,Doug,,,https://lamalfa.house.gov,408 Cannon House Office Building Washington DC 20515-0501,202-225-3076,,http://lamalfa.house.gov/rss.xml,RepLaMalfa,RepLaMalfa,UCUzz1XDn862fxirervSB2Yw,L000578,2100.0,N00033987,,"H2CA02142,H2CA01144",68493.0,412510,29713.0,Doug LaMalfa,,21302.0,Doug LaMalfa,republican us rep  ca-1st district and rice farmer in norcal,3448.0
123,Jared Huffman,M,rep,CA,2.0,CA-2,D,JaredHuffman,RepHuffman,D+40.5,D+39.35,Huffman,Jared,,,https://huffman.house.gov,1527 Longworth House Office Building Washington DC 20515-0502,202-225-5161,,http://huffman.house.gov/rss.xml,RepHuffman,rephuffman,UCJU6SP1ppp1ZhSiqZLiFgDA,H001068,2101.0,N00033030,,H2CA06259,622431.0,412511,59849.0,Jared Huffman,,21303.0,Jared Huffman,congressman for ca s 2nd dist   posts on this page authorized by huffman for congress   for my official house of representatives feed please follow  rephuffman,15549.0
124,John Garamendi,M,rep,CA,3.0,CA-3,D,JohnGaramendi,RepGaramendi,D+8.17,D+6.74,Garamendi,John,,,https://garamendi.house.gov,2368 Rayburn House Office Building Washington DC 20515-0503,202-225-1880,,http://garamendi.house.gov/rss.xml,repgaramendi,garamendiCA10,UCRym1qsO72C39gX6pBu4icg,G000559,1973.0,N00030856,,H0CA10149,18413.0,412382,29664.0,John Garamendi,,20958.0,John Garamendi,this is the official twitter account for my campaign  i proudly represent glenn  sacramento  colusa  yuba  sutter  lake  solano  and yolo counties in congress ,3881.0
125,Tom McClintock,M,rep,CA,4.0,CA-4,R,tommcclintock,RepMcClintock,R+19.9,R+21.27,McClintock,Tom,,,https://mcclintock.house.gov,2312 Rayburn House Office Building Washington DC 20515-0504,202-225-2511,,http://mcclintock.house.gov/atom.xml,81125319109,McClintockCA04,UCMh04KC4LfIzKoXh2Xws_pw,M001177,1908.0,N00006863,,"H8CA04152,H6CA21135",30359.0,412295,9715.0,Tom McClintock,,20903.0,Tom McClintock,congressman tom mcclintock represents  ca04 in the united states congress ,5465.0
126,Mike Thompson,M,rep,CA,5.0,CA-5,D,Mike_CA05,RepThompson,D+40.03,D+38.88,Thompson,Mike,Michael,,https://mikethompson.house.gov,268 Cannon House Office Building Washington DC 20515-0505,202-225-3311,,http://mikethompson.house.gov/news/rss.aspx,RepMikeThompson,CongressmanMThompson,UC6pGbtqHZYZmScFGSz5bbdg,T000460,1593.0,N00007419,,H8CA01109,57872.0,400403,3564.0,Mike Thompson (California),,29901.0,Mike Thompson (California politician),u s  congressman  california s 5th congressional district,756.0
127,Doris O. Matsui,F,rep,CA,6.0,CA-6,D,Matsui4Congress,DorisMatsui,D+39.5,D+38.34,Matsui,Doris,O.,,https://matsui.house.gov,2311 Rayburn House Office Building Washington DC 20515-0506,202-225-7163,,http://matsui.house.gov/index.php?format=feed&amp;type=rss,doris.matsui,RepDorisMatsui,UCSqqxVkvskHq3cY2MCbTZsw,M001163,1814.0,N00027459,,H6CA05195,26602.0,400663,28593.0,Doris Matsui,,20538.0,Doris Matsui,doris matsui represents the sacramento region in congress  and is running for re-election in the 6th district  which includes sacramento   west sacramento ,1410.0
128,Ami Bera,M,rep,CA,7.0,CA-7,D,BeraForCongress,RepBera,D+4.97,D+3.53,Bera,Ami,,,https://bera.house.gov,172 Cannon House Office Building Washington DC 20515-0507,202-225-5716,,http://bera.house.gov/rss.xml,RepAmiBera,repamibera,UClJCTCo53Zk6b4kUL-bbdzg,B001287,2102.0,N00030717,,H0CA03078,1033636.0,412512,120030.0,Ami Bera,,21304.0,Ami Bera,husband  father  doctor and teacher representing  ca07 in congress  updates by ami   team bera,4004.0
129,Jay Obernolte,M,rep,CA,8.0,CA-8,R,TeamObernolte,JayObernolte,R+18.67,R+20.04,Obernolte,Jay,Phillip,,https://obernolte.house.gov,1029 Longworth House Office Building Washington DC 20515-0508,202-225-5861,,,,,,O000019,,,,H0CA08135,,456801,,Jay Obernolte,,,Jay Obernolte,husband  father  business owner    congressman for  ca08  teamobernolte,441.0
130,Jerry McNerney,M,rep,CA,9.0,CA-9,D,jerrymcnerney,RepMcNerney,D+14.33,D+12.93,McNerney,Jerry,,,https://mcnerney.house.gov,2265 Rayburn House Office Building Washington DC 20515-0509,202-225-1947,,http://mcnerney.house.gov/rss.xml,jerrymcnerney,RepJerryMcNerney,UClUOx6F8GKshxGBUBLkisug,M001166,1832.0,N00026926,,H4CA11081,1021667.0,412189,29474.0,Jerry McNerney,,20702.0,Jerry McNerney,i studied math   have a phd in differential geometry and a background in wind energy technology  elected to congress in 2006  proud to serve cd-09 of california,1885.0
131,Josh Harder,M,rep,CA,10.0,CA-10,D,JoshHarder,RepJoshHarder,R+0.77,R+2.2,Harder,Josh,,,https://harder.house.gov,209 Cannon House Office Building Washington DC 20515-0510,202-225-4540,,,,,,H001090,,N00040853,,H8CA10126,,412754,179326.0,Josh Harder,,21930.0,Josh Harder,turlock native  teacher at modesto junior college  businessman  proud to represent the people of ca-10 in congress  join us  https //t co/7qlocqkksq,14218.0
132,Mark DeSaulnier,M,rep,CA,11.0,CA-11,D,MarkDeSaulnier,RepDeSaulnier,D+41.1,D+39.96,DeSaulnier,Mark,,,https://desaulnier.house.gov,503 Cannon House Office Building Washington DC 20515-0511,202-225-2095,,,RepMarkDeSaulnier,,,D000623,2227.0,N00030709,,H0CA10073,61736.0,412613,69477.0,Mark DeSaulnier,,21504.0,Mark DeSaulnier,father  avid runner  former small business owner \nhonored to represent california s 11th congressional district ,2851.0
133,Nancy Pelosi,F,rep,CA,12.0,CA-12,D,TeamPelosi,SpeakerPelosi,D+71.57,D+71.11,Pelosi,Nancy,,,https://pelosi.house.gov,1236 Longworth House Office Building Washington DC 20515-0512,202-225-4965,,http://pelosi.house.gov/atom.xml,NancyPelosi,nancypelosi,UCxPeEcH0xaCK9nBK98EFhDg,P000197,905.0,N00007360,,H8CA05035,6153.0,400314,26732.0,Nancy Pelosi,,15448.0,Nancy Pelosi,organize  mobilize and fight  forthepeople  this is nancy s political account  tweets from her are signed -np ,791526.0
134,Barbara Lee,F,rep,CA,13.0,CA-13,D,BLeeForCongress,RepBarbaraLee,D+75.93,D+75.62,Lee,Barbara,,,https://lee.house.gov,2470 Rayburn House Office Building Washington DC 20515-0513,202-225-2661,,http://lee.house.gov/rss.xml,RepBarbaraLee,RepLee,UCnRgK2MXAQOUau0JXqseeNA,L000551,1501.0,N00008046,,H8CA09060,54579.0,400237,8315.0,Barbara Lee (California),,29778.0,Barbara Lee,thanks to voters  barbara lee represents ca s new 13th congressional district  this is her campaign account ,66194.0
135,Jackie Speier,F,rep,CA,14.0,CA-14,D,JackieSpeier,RepSpeier,D+52.03,D+51.09,Speier,Jackie,,,https://speier.house.gov,2465 Rayburn House Office Building Washington DC 20515-0514,202-225-3531,,http://speier.house.gov/index.php?format=feed&amp;type=rss,JackieSpeier,jackiespeierca12,UCevmyTb0HSO8irVaR2gYyoA,S001175,1890.0,N00029649,,H8CA12171,1027627.0,412259,8425.0,Jackie Speier,,20762.0,Jackie Speier,i proudly represent san francisco and san mateo counties  and served 18 years in the ca state legislature before being sworn into congress in april 2008 ,9174.0
136,Eric Swalwell,M,rep,CA,15.0,CA-15,D,ericswalwell,RepSwalwell,D+39.23,D+38.07,Swalwell,Eric,,,https://swalwell.house.gov,174 Cannon House Office Building Washington DC 20515-0515,202-225-5065,,,CongressmanEricSwalwell,ericswalwell,UCKvwsFNGD4sDkE_9g-2ft0w,S001193,2104.0,N00033508,,H2CA15094,79729.0,412514,129529.0,Eric Swalwell,,21306.0,Eric Swalwell,dad to nelson   cricket husband ca congressman my book endgame is on sale now  link below \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc,291055.0
137,Jim Costa,M,rep,CA,16.0,CA-16,D,RepJimCosta,RepJimCosta,D+16.83,D+15.44,Costa,Jim,,,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0516,202-225-3341,,http://costa.house.gov/index.php?format=feed&amp;type=rss,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,C001059,1774.0,N00026341,,H4CA20082,19599.0,400618,3577.0,Jim Costa,,20501.0,Jim Costa,costa represents ca s 16th district  he serves on the agriculture  natural resources    foreign affairs committees  this account is for official use only ,27661.0
138,Ro Khanna,M,rep,CA,17.0,CA-17,D,RoKhanna,RepRoKhanna,D+47.1,D+46.06,Khanna,Ro,,,https://khanna.house.gov,306 Cannon House Office Building Washington DC 20515-0517,202-225-2631,,,RepRoKhanna,,UCr4KOYv1o1oEQhy1jhhm3pQ,K000389,,N00026427,,H4CA12055,31129.0,412684,29473.0,Ro Khanna,,21728.0,Ro Khanna,bridging national divide w/ a 21st century economic vision for new jobs   more pay in places left behind  no pac     pro-growth progressive  obama commerce alum,282986.0
139,Anna G. Eshoo,F,rep,CA,18.0,CA-18,D,Eshoo4Congress,RepAnnaEshoo,D+44.6,D+43.52,Eshoo,Anna,G.,,https://eshoo.house.gov,272 Cannon House Office Building Washington DC 20515-0518,202-225-8104,,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ,E000215,355.0,N00007335,,H8CA12098,26130.0,400124,26741.0,Anna Eshoo,,29312.0,Anna Eshoo,rep  anna eshoo represents california s 18th district  tweets and re-tweets by campaign staff ,830.0
140,Zoe Lofgren,F,rep,CA,19.0,CA-19,D,ZoeLofgren,RepZoeLofgren,D+45.2,D+44.13,Lofgren,Zoe,,,https://lofgren.house.gov,1401 Longworth House Office Building Washington DC 20515-0519,202-225-3072,,http://lofgren.house.gov/index.php?format=feed&amp;type=rss,zoelofgren,RepZoeLofgren,UCOaQ79adORFcaTuJZoIFuZQ,L000397,701.0,N00007479,,H4CA16049,36520.0,400245,21899.0,Zoe Lofgren,,29504.0,Zoe Lofgren,proud ca-19 congresswoman  democrat  a teamster\xe2\x80\x99s daughter  immigration attorney  digital rights advocate  dreamers defender  gun safety activist  resister ,2075.0
141,Jimmy Panetta,M,rep,CA,20.0,CA-20,D,JimmyPanetta,RepJimmyPanetta,D+42.4,D+41.28,Panetta,Jimmy,,,https://panetta.house.gov,406 Cannon House Office Building Washington DC 20515-0520,202-225-2861,,,RepJimmyPanetta,,UCmw-aERG51C96edMDPN7fXQ,P000613,,N00038601,,H6CA20152,104727.0,412685,169078.0,Jimmy Panetta,,21740.0,Jimmy Panetta,i am honored to represent the 20th congressional district in congress  and to continue serving our community and country ,1839.0
142,David G. Valadao,M,rep,CA,21.0,CA-21,R,dgvaladao,,D+10.07,D+8.65,Valadao,David,G.,,https://valadao.house.gov,1728 Longworth House Office Building Washington DC 20515-0521,202-225-4695,,http://valadao.house.gov/rss.xml,,,,V000129,2105.0,N00033367,,H2CA20094,623702.0,412515,120200.0,David G. Valadao,,21307.0,David Valadao,husband  father  and dairy farmer in  ca21 ,7464.0
143,Devin Nunes,M,rep,CA,22.0,CA-22,R,RepDevinNunes,RepDevinNunes,R+15.3,R+16.7,Nunes,Devin,G.,,https://nunes.house.gov,1013 Longworth House Office Building Washington DC 20515-0522,202-225-2523,,http://nunes.house.gov/news/rss.aspx,,RepDevinNunes,UCtbArL6CmOfFqgmpuRjLp3w,N000181,1710.0,N00007248,,H8CA20059,1003553.0,400297,16725.0,Devin Nunes,,20307.0,Devin Nunes,,48719.0
144,Kevin McCarthy,M,rep,CA,23.0,CA-23,R,kevinomccarthy,GOPLeader,R+27.1,R+28.41,McCarthy,Kevin,,,https://kevinmccarthy.house.gov,2468 Rayburn House Office Building Washington DC 20515-0523,202-225-2915,,http://kevinmccarthy.house.gov/index.php?format=feed&amp;type=rss,CongressmanKevinMcCarthy,repkevinmccarthy,UCdJUZUFSLJRlUpE-91-6DsA,M001165,1833.0,N00028152,,"H6CA22125,H2CA23148",85231.0,412190,28918.0,Kevin McCarthy (California),,20703.0,Kevin McCarthy (California politician),house republican leader   representative of california s 23rd district,68427.0
145,Salud O. Carbajal,M,rep,CA,24.0,CA-24,D,carbajalsalud,RepCarbajal,D+13.17,D+11.76,Carbajal,Salud,O.,,https://carbajal.house.gov,2331 Rayburn House Office Building Washington DC 20515-0524,202-225-3601,,,repsaludcarbajal,repcarbajal,,C001112,,N00037015,,H6CA24303,104728.0,412686,81569.0,Salud Carbajal,,21709.0,Salud Carbajal,husband  father  veteran    ucsb alum  running for congress to fight for the central coast s middle class ,2501.0
146,Mike Garcia,M,rep,CA,25.0,CA-25,R,ElectMikeGarcia,repmikegarcia,R+0.1,R+1.54,Garcia,Mike,,,https://mikegarcia.house.gov,1535 Longworth House Office Building Washington DC 20515-0525,202-225-1956,,,RepMikeGarcia,,,G000061,,N00044298,,H0CA25105,,456792,,Mike Garcia,,,Mike Garcia (politician),representing california s 25th district in congress  former u s  navy fighter pilot  businessman    conservative  husband to rebecca and proud dad of two boys ,36223.0
147,Julia Brownley,F,rep,CA,26.0,CA-26,D,JuliaBrownley,RepBrownley,D+14.07,D+12.66,Brownley,Julia,,,https://juliabrownley.house.gov,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,,http://juliabrownley.house.gov/rss.xml,RepJuliaBrownley,RepJuliaBrownley,UCFrC4Ouk5R6xQztS9PZin_A,B001285,2106.0,N00034254,,H2CA00120,79783.0,412516,59904.0,Julia Brownley,,21308.0,Julia Brownley,mother  school board member  state assemblywoman  member of congress proudly serving ventura county,3850.0
148,Judy Chu,F,rep,CA,27.0,CA-27,D,JudyChuCampaign,RepJudyChu,D+30.3,D+29.02,Chu,Judy,M.,,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0527,202-225-5464,,http://chu.house.gov/rss.xml,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,1970.0,N00030600,,H0CA32101,92573.0,412379,16539.0,Judy Chu,,20955.0,Judy Chu,incumbent candidate for u s  congress  27th district of california ,820.0
149,Adam B. Schiff,M,rep,CA,28.0,CA-28,D,AdamSchiff,RepAdamSchiff,D+43.83,D+42.74,Schiff,Adam,B.,,https://schiff.house.gov,2309 Rayburn House Office Building Washington DC 20515-0528,202-225-4176,,http://schiff.house.gov/common/rss/?rss=49,RepAdamSchiff,adamschiff,UCadiUi-KZoFk1K5ZDsluLcA,S001150,1635.0,N00009585,,H0CA27085,90167.0,400361,9489.0,Adam Schiff,,20104.0,Adam Schiff,father  husband  former federal prosecutor  triathlete and sometimes comic  congressman from california  join our team \xf0\x9f\x91\x87,561150.0
150,Tony Cárdenas,M,rep,CA,29.0,CA-29,D,Tcardenas,RepCardenas,D+55.47,D+54.59,Cárdenas,Tony,,,https://cardenas.house.gov,2438 Rayburn House Office Building Washington DC 20515-0529,202-225-6131,,http://cardenas.house.gov/rss.xml,repcardenas,repcardenas,UCm6ug1-yvYGL0F6DvYxfFBA,C001097,2107.0,N00033373,,H2CA28113,63934.0,412517,9754.0,Tony Cardenas,,21309.0,Tony Cárdenas,my passion drives my intention to bring quality services to the people i represent  current u s  congressman,896.0
151,Brad Sherman,M,rep,CA,30.0,CA-30,D,BradSherman4SFV,BradSherman,D+36.03,D+34.82,Sherman,Brad,J.,,https://sherman.house.gov,2181 Rayburn House Office Building Washington DC 20515-0530,202-225-5911,,http://bradsherman.house.gov/press-releases-and-columns/rss.shtml,63158229861,shermanca27,UCPisrz6-SLwVy2l9Mcy8kug,S000344,1526.0,N00006897,,H6CA24113,45124.0,400371,142.0,Brad Sherman,,29707.0,Brad Sherman,represents california s san fernando valley in the u s  house of representatives,833.0
152,Pete Aguilar,M,rep,CA,31.0,CA-31,D,AguilarCampaign,reppeteaguilar,D+15.63,D+14.24,Aguilar,Pete,,,https://aguilar.house.gov,109 Cannon House Office Building Washington DC 20515-0531,202-225-3201,,,reppeteaguilar,,UCxwbFLOlKDsXrwizV5jah7g,A000371,2229.0,N00033997,,H2CA31125,79994.0,412615,70114.0,Pete Aguilar,,21506.0,Pete Aguilar,dad  husband  4th generation californian  congressman  fan of dodgers  craft beer and working across the aisle to get things done ,1262.0
153,Grace F. Napolitano,F,rep,CA,32.0,CA-32,D,grace4congress,GraceNapolitano,D+32.87,D+31.62,Napolitano,Grace,F.,,https://napolitano.house.gov,1610 Longworth House Office Building Washington DC 20515-0532,202-225-5256,,http://napolitano.house.gov/rss.xml,RepGraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA,N000179,1602.0,N00006789,,H8CA34068,57873.0,400290,8393.0,Grace Napolitano,,29903.0,Grace Napolitano,candidate for congress in california s 32nd congressional district \nfighting for the san gabriel valley  water  labor  women s rights  jobs  veterans  services ,566.0
154,Ted Lieu,M,rep,CA,33.0,CA-33,D,tedlieu,RepTedLieu,D+31.5,D+30.24,Lieu,Ted,,,https://lieu.house.gov,403 Cannon House Office Building Washington DC 20515-0533,202-225-3976,,,RepTedLieu,,UC9qcJxTqfDNBnVul1IojlFg,L000582,2230.0,N00035825,,H4CA33119,28076.0,412616,1516.0,Ted Lieu,,21507.0,Ted Lieu,husband of betty  the love of my life  father of two great kids  usaf veteran  member of congress  in that order  also  empathy is good ,1600547.0
155,Jimmy Gomez,M,rep,CA,34.0,CA-34,D,JimmyGomezCA,RepJimmyGomez,D+67.6,D+67.03,Gomez,Jimmy,,,https://gomez.house.gov,1530 Longworth House Office Building Washington DC 20515-0534,202-225-6235,,,RepJimmyGomez,,,G000585,,N00040597,,H8CA34266,108883.0,412739,138524.0,Jimmy Gomez,,21754.0,Jimmy Gomez,congressman for los angeles  working-class progressive  personal account  lifelong  dodgers fan  shelter \xf0\x9f\x90\xb6 parent  fb   ig   jimmygomezca  ca34,18073.0
156,Norma J. Torres,F,rep,CA,35.0,CA-35,D,Norma4Congress,NormaJTorres,D+35.5,D+34.28,Torres,Norma,J.,,https://torres.house.gov,2227 Rayburn House Office Building Washington DC 20515-0535,202-225-6161,,,RepNormaTorres,,UCvWY4qKP6--o3pIJY7hhKDg,T000474,2231.0,N00036107,,H4CA35031,76129.0,412617,71284.0,Norma Torres,,21508.0,Norma Torres,congresswoman representing the people of bloomington  chino  fontana  montclair  ontario  pomona and rialto  advocate for working families in the  inlandempire ,2507.0
